Subsite,ICD-O-3,Site,Group,Macrogrouping
"C64 KIDNEY (C64.9 Kidney, NOS), C65 RENAL PELVIS (C65.9 Renal pelvis)",C64-C65,Kidney and renal pelvis,Urinary,Urinary and male genital tumor
Ureter,C66.9,Ureter,Urinary,Urinary and male genital tumor
"C67.0 Trigone of bladder, C67.1 Dome of bladder, C67.2 Lateral wall of bladder, C67.3 Anterior wall of  ladder, C67.4 Posterior wall of bladder, C67.5 Bladder neck, C67.6 Ureteric orifice, C67.7 Urachus, C67.8 Overlapping lesion of bladder, C67.9 Bladder, NOS",C67.0-C67.9,Bladder,Urinary,Urinary and male genital tumor
"C68.0 Urethra, C68.1 Paraurethral gland, C68.8 Overlapping lesion of urinary organs, C68.9 Urinary system, NOS",C68.0-C68.9,Urethra,Urinary,Urinary and male genital tumor
Conjunctiva,C69.0,Eye and adnexa,,CNS
"Cornea, NOS",C69.1,Eye and adnexa,,CNS
Retina,C69.2,Eye and adnexa,,CNS
Choroid,C69.3,Eye and adnexa,,CNS
Ciliary body,C69.4,Eye and adnexa,,CNS
Lacrimal gland,C69.5,Eye and adnexa,,CNS
"Orbit, NOS",C69.6,Eye and adnexa,,CNS
"Eye, NOS",C69.9,Eye and adnexa,,CNS
"C70.0 Cerebral meninges, C70.1 Spinal meninges, C70.9 Meninges, NOS",C70.0-C70.9,Meninges,,CNS
Cerebrum,C71.0,Brain,,CNS
Frontal lobe,C71.1,Brain,,CNS
Temporal lobe,C71.2,Brain,,CNS
Parietal lobe,C71.3,Brain,,CNS
Occipital lobe,C71.4,Brain,,CNS
"Ventricle, NOS",C71.5,Brain,,CNS
"Cerebellum, NOS",C71.6,Brain,,CNS
Brain stem,C71.7,Brain,,CNS
"Brain, NOS",C71.9,Brain,,CNS
Spinal cord,C72.0,Spinal cord,,CNS
Cauda equina,C72.1,Spinal cord,,CNS
Olfactory nerve,C72.2,Cranial nerve,,CNS
Optic nerve,C72.3,Cranial nerve,,CNS
Acoustic nerve,C72.4,Cranial nerve,,CNS
"Cranial nerve, NOS",C72.5,Cranial nerve,,CNS
"Nervous system, NOS",C72.9,CNS,,CNS
Thyroid gland,C73.9,Thyroid gland,,Head and neck
"C74.0 Cortex of adrenal gland, C74.1 Medulla of adrenal gland, C74.9 Adrenal gland, NOS",C74.0-C74.9,Adrenal gland,Retroperitoneum,Soft tissue
Parathyroid gland,C75.0,Parathyroid gland,,Head and neck
Pituitary gland,C75.1,Brain,,CNS
Pineal gland,C75.3,Brain,,CNS
"Lymph nodes of head, face and neck",C77.0,"Head, face, and neck",,Head and neck
Intrathoracic lymph nodes,C77.1,Thorax,Thorax,Soft tissue
Intra-abdominal lymph nodes,C77.2,Abdomen,Abdomen,Soft tissue
Lymph nodes of axilla or arm,C77.3,Upper limbs,Upper limbs,Soft tissue
Lymph nodes of inguinal region or leg,C77.4,Lower limbs,Lower limbs,Soft tissue
Pelvic lymph nodes,C77.5,Pelvis,Pelvis,Soft tissue
