N seq,Group,Label,Behaviour,WHO 5th/ICD-O-3.2 Code,WHO 5th/ICD-O-3.2 Label,Si/No,behaviour
,"Well-differentiated/dedifferentiated liposarcoma (8851, 8855, 8857-8858)",Fibroblastic liposarcoma (8857),/3,8857/3,Fibroblastic liposarcoma,,
94,"Well-differentiated/dedifferentiated liposarcoma (8851, 8855, 8857-8858)",Dedifferentiated liposarcoma (8858),/3,8858/3,Dedifferentiated liposarcoma,Si,Malignant
95,,,/3,8859/3,Myxoid pleomorphic liposarcoma,Si,Malignant
96,"Leiomyosarcoma (8890,8891,8895-8896)","Leiomyosarcoma, NOS (8890)",/0,8890/0,Myolipoma,Si,Benign
97,"Leiomyosarcoma (8890,8891,8895-8896)","Leiomyosarcoma, NOS (8890)",/0,8890/0,Leiomyoma NOS,Si,Benign
98,"Leiomyosarcoma (8890,8891,8895-8896)","Leiomyosarcoma, NOS (8890)",/0,8890/0,Lipoleiomyoma,Si,Benign
99,"Leiomyosarcoma (8890,8891,8895-8896)","Leiomyosarcoma, NOS (8890)",/0,8890/0,"Leiomyoma, apoplectic",Si,Benign
100,"Leiomyosarcoma (8890,8891,8895-8896)","Leiomyosarcoma, NOS (8890)",/0,8890/0,"Leiomyoma, hydropic",Si,Benign
101,"Leiomyosarcoma (8890,8891,8895-8896)","Leiomyosarcoma, NOS (8890)",/0,8890/0,Dissecting leiomyoma,si,Benign
102,"Leiomyosarcoma (8890,8891,8895-8896)","Leiomyosarcoma, NOS (8890)",,,Cutaneous (pilar) leiomyoma,Si,Benign
103,"Leiomyosarcoma (8890,8891,8895-8896)","Leiomyosarcoma, NOS (8890)",,,Leiomyoma of the nipple/areola (muscularis mamillae and areolae),Si,Benign
104,"Leiomyosarcoma (8890,8891,8895-8896)","Leiomyosarcoma, NOS (8890)",,,Leiomyoma of the breast parenchyma,Si,Benign
105,"Leiomyosarcoma (8890,8891,8895-8896)","Leiomyosarcoma, NOS (8890)",,,Seedling leiomyomas,No,
106,"Leiomyosarcoma (8890,8891,8895-8896)","Leiomyosarcoma, NOS (8890)",/1,8890/1,"Leiomyomatosis, peritonealis disseminata",Si,Borderline
107,"Leiomyosarcoma (8890,8891,8895-8896)","Leiomyosarcoma, NOS (8890)",/1,8890/1,Intravenous leiomyomatosis,Si,Borderline
108,"Leiomyosarcoma (8890,8891,8895-8896)","Leiomyosarcoma, NOS (8890)",/1,8890/1,Leiomyomatosis NOS,Si,Borderline
109,"Leiomyosarcoma (8890,8891,8895-8896)","Leiomyosarcoma, NOS (8890)",/3,8890/3,Leiomyosarcoma NOS,Si,Malignant
